Good morning.	早上好。
Morning, my teacher.	老师，早上好。
Morning, my friend.	朋友，早上好。
hello	你好，喂
hi	你好，喂
I	我
am	是
ah	啊
a	一（个）
cat	猫
Miss	小姐，女士
Good afternoon.	下午好。
class	同学们
goodbye	再见，再会
bye	再见，再会
Good morning, Bobby.	早上好，Bobby。
Hi, Sam.	嗨，Sam。
Hello!	你好！
Hi, I'm Sam.	嗨，我是 Sam。
Hi, I'm Bobby.	嗨，我是 Bobby。
Ah! A cat!	啊！一只猫！
Good morning, Miss Li.	早上好，李老师。
Good morning, Liu Tao.	早上好，刘涛。
Hi, Yang Ling.	嗨，杨玲。
Hello, Liu Tao.	你好，刘涛。
Good afternoon, Miss Li.	下午好，李老师。
Good afternoon, class.	下午好，同学们。
Goodbye, Miss Li.	再见，李老师。
Bye!	再见！
Hi, I'm Su Hai. What's your name?	嗨，我是苏海。你叫什么名字？
Hi, my name is Mike Brown.	嗨，我的名字是 Mike Brown。
what	什么
is	是
your	你的，你们的
name	名字
my	我的
Nice to meet you!	很高兴认识你！
too	也
boy	男孩
and	和，与
girl	女孩
Mr	先生
Good afternoon, Sam!	下午好，Sam！
Good afternoon, Bobby!	下午好，Bobby！
Hello, I'm Sam. What's your name?	你好，我是 Sam。你叫什么名字？
My name is Beibei.	我的名字是贝贝。
Hello, Beibei. I'm Bobby.	你好，贝贝。我是 Bobby。
Nice to meet you too.	我们也很高兴认识你。
Hello, I'm Mike Brown.	你好，我是 Mike Brown。
Hi, Mike. I'm Yang Ling.	嗨，Mike。我是杨玲。
Nice to meet you, Yang Ling.	很高兴认识你，杨玲。
Hello. What's your name?	你好。你叫什么名字？
My name is Liu Tao.	我的名字是刘涛。
I'm Wang Bing. Nice to meet you.	我是王兵。很高兴认识你。
Hi!	嗨！
Good morning, boys and girls.	早上好，孩子们。
Good morning, Mr Green.	早上好，格林老师。
Are you Su Hai?	你是苏海吗？
No, I'm not. I'm Su Yang.	不，我不是。我是苏阳。
are	是
you	你，你们
no	不，不是
not	不，不是
yes	是，对
ha	哈
Here I am!	我在这里！
but	但是
oh	哦，啊
sorry	对不起
twin	双胞胎之一
we	我们
excuse me	对不起
in	在……内，在……中
with	和，同
right	正确的
Hi, Bobby!	嗨，Bobby！
Are you Jake?	你是 Jake 吗？
No, I'm not. I'm John.	不，我不是。我是 John。
Yes!	是的！
Ha ha!	哈哈！
Ha ha! Here I am!	哈哈！我在这里！
Good morning, Su Hai.	早上好，苏海。
Good morning. But I'm not Su Hai. I'm Su Yang.	早上好。但是我不是苏海。我是苏阳。
Oh, I'm sorry. Nice to meet you, Su Yang.	哦，对不起。很高兴认识你，苏阳。
Ah! You're twins!	啊！你们是双胞胎！
Yes, we are!	是的，我们是！
Hi, Mike.	嗨，Mike。
Excuse me, are you Su Hai?	打扰一下，你是苏海吗？
What class are you in?	你在哪个班？
I'm in Class 2.	我在二班。
Yes, I am! I'm in Class 1 with you.	是的，我是！我和你在一班。
Right!	对！
This is Yang Ling. She's my friend.	这是杨玲。她是我的朋友。
this	这，这个
friend	朋友
she	她
he	他
it	它
good	好的
Thank you.	谢谢你。
have	有，拥有
many	许多
Goodbye, Max and Willy!	再见，Max 和 Willy！
Goodbye!	再见！
Hello, Bobby!	你好，Bobby！
Hi, Tina!	嗨，Tina！
This is Sam. He's my friend.	这是 Sam。他是我的朋友。
Hi. Nice to meet you.	嗨。很高兴认识你。
Hello, Wang Bing.	你好，王兵。
Hi, Liu Tao. This is my friend, Zhang Hua.	嗨，刘涛。这是我的朋友，张华。
Zhang Hua, this is Liu Tao. He's my friend.	张华，这是刘涛。他是我的朋友。
Hello, Zhang Hua.	你好，张华。
Nice to meet you.	很高兴认识你。
It's good!	很好！
Hi, I'm Zhang Hua.	嗨，我是张华。
This is Su Hai. She's my friend. I have many friends in my class.	这是苏海。她是我的朋友。我班里有很多朋友。
Father finger, father finger, where are you?	爸爸手指，爸爸手指，你在哪里？
Here I am. Here I am. How do you do?	我在这里。我在这里。你好呀？
Mother finger, mother finger, where are you?	妈妈手指，妈妈手指，你在哪里？
mother	母亲，妈妈
father	父亲，爸爸
dad	爸爸
mum	妈妈
brother	哥哥，弟弟
baby	婴儿
sister	姐姐，妹妹
Good evening.	晚上好。
quick	快，快点
look	看，瞧
the	这个，这些，那个，那些
pond	池塘，水池
who	谁，什么人
great	极好的，好棒的
come	来
meet	相识，结识，被引见介绍
family	家，家庭
say	说
Hi, Bobby.	嗨，Bobby。
This is my mum.	这是我的妈妈。
