# Unit 1 Lead-in
What's in my schoolbag? Take a look.	我的书包里有什么？看一看。
A pencil case and a big book.	一个铅笔盒和一本大书。
What's in my pencil case? Can you see?	我的铅笔盒里有什么？你能看见吗？
Rubbers, pens and pencils, just for me.	橡皮、钢笔和铅笔，都是给我用的。
# Unit 1 Words
school	学校
pen	笔，钢笔
pencil	铅笔
ruler	直尺
rubber	橡皮
schoolbag	书包
pencil case	铅笔盒，铅笔袋
that	那，那个
put	放，安置
again	再一次，又一次
long	长的
Good idea!	好主意！
# Unit 1 Cartoon
What's this?	这是什么？
It's my pencil case.	这是我的铅笔盒。
What's that?	那是什么？
It's my rubber.	这是我的橡皮。
Bobby! Put your school things in your schoolbag!	Bobby！把你的学习用品放进书包里！
Yes, Dad!	好的，爸爸！
# Unit 1 Story
What's that? Is it a ruler?	那是什么？是直尺吗？
No, it isn't.	不，不是。
Is it a pencil?	是铅笔吗？
It's a pen!	是一支钢笔！
Yes. You're right!	对。你说对了！
What's this?	这是什么？
It's a rubber.	是橡皮。
No. Guess again.	不对。再猜一次。
Is it a pencil case?	是铅笔盒吗？
Yes, it is!	是的！
What's that?	那是什么？
Look, Mike. It's for your pencil.	看，Mike。这是给你的铅笔用的。
Now your pencil is long.	现在你的铅笔变长了。
Good idea! Thank you, Su Hai.	好主意！谢谢你，苏海。
# Unit 2 Lead-in
Our classroom is big and new.	我们的教室又大又新。
Let's keep it clean for me and you.	让我们保持教室干净，为了你我。
Clean the desk. Sweep the floor.	擦桌子。扫地。
Close the window. Close the door.	关窗户。关门。
# Unit 2 Words
our	我们的
classroom	教室，课堂
close	关，关闭
window	窗，窗户
blackboard	黑板
chair	椅子
sweep	打扫，清扫
floor	地板，地面
let	让
us	我们
desk	课桌，书桌
dirty	脏的
Me too!	我也是！
All right.	好的。
clean	洁净的，干净的
keep	（使）保持，处于
# Unit 2 Cartoon
Let's clean our classroom!	我们来打扫教室吧！
Good idea!	好主意！
Sam, sweep the floor, please.	Sam，请扫地。
OK.	好的。
Please clean your desk and chair, Max.	Max，请擦你的桌子和椅子。
Look! That desk is dirty!	看！那张桌子很脏！
Oh, it's my desk ...	哦，是我的桌子……
# Unit 2 Story
Our classroom is dirty. Let's clean it.	我们的教室很脏。我们来打扫吧。
OK!	好的！
I can clean the blackboard.	我会擦黑板。
Let's sweep the floor.	我们来扫地吧。
Let's put away the books, Yang Ling.	杨玲，我们把书收起来吧。
All right.	好的。
Please close the window, Mike.	Mike，请关窗户。
Thanks, Mike. Our classroom is clean now.	谢谢，Mike。我们的教室现在很干净了。
Yes. Let's keep it clean.	是的。我们保持教室干净吧。
# Unit 3 Lead-in
This is our library. Reading is fun.	这是我们的图书馆。阅读很有趣。
Boys, girls, please follow the rules.	孩子们，请遵守规则。
Don't shout. Don't run.	不要大声喊叫。不要奔跑。
# Unit 3 Words
rule	规则，规章
library	图书馆
talk	说话，讲话
eat	吃
run	跑，奔跑
Mrs	太太，夫人
sit down	坐下
late	迟的，晚的
look out of	朝……外看
on	在……上面
fun	有趣的
quiet	安静的
Would you like ...?	你想要……吗？
look at	看，瞧
That's all right.	不要紧。
# Unit 3 Cartoon
Good morning, Mrs Fox.	早上好，狐狸老师。
Good morning. Sit down, please.	早上好。请坐下。
You're late, Bobby.	你迟到了，Bobby。
I'm sorry, Mrs Fox.	对不起，狐狸老师。
Don't be late again.	不要再迟到了。
Don't look out of the window, Bobby.	Bobby，不要朝窗外看。
Bobby, don't draw on your desk.	Bobby，不要在课桌上画画。
You can draw here, Bobby.	Bobby，你可以在这里画。
# Unit 3 Story
Hello, Yang Ling!	你好，杨玲！
Shh! Don't shout, Liu Tao.	嘘！不要大声说话，刘涛。
This book is fun.	这本书很有趣。
Yes, it is. But keep quiet, please.	是的。但是请保持安静。
I'm sorry.	对不起。
Look! Let's follow the rules.	看！我们遵守规则吧。
OK.	好的。
Hi!	嗨！
Don't run, Mike.	不要跑，Mike。
Don't shout, Mike.	不要大声说话，Mike。
Would you like a sweet?	你想要一颗糖吗？
No, thank you. We can't eat here.	不，谢谢。我们不能在这里吃东西。
Look at the rules here.	看这里的规则。
Oh, I'm sorry.	哦，对不起。
# Unit 4 Lead-in
Let's play hide-and-seek.	我们来玩捉迷藏吧。
Run and hide. Don't speak.	跑起来躲好。不要说话。
Who's behind the tree?	谁在树后面？
Can you see? Can you see?	你能看见吗？你能看见吗？
# Unit 4 Words
have fun	玩得高兴
after class	课后
behind	在……的后面
tree	树，树木
by	在……旁边
under	在……下面
flower	花，花朵
play	玩耍
go	开始；移动
plane	飞机
very	很，非常
far	远
where	在哪里，到哪里
find	找到
over	结束
student	学生
from	来自
nice	美好的
of	关于
garden	花园，园圃
beautiful	美丽的，美好的
duck	鸭子
# Unit 4 Cartoon
It's break time. Let's play outside!	课间休息时间到了。我们去外面玩吧！
Ready? Go!	准备好了吗？开始！
The planes go very far.	飞机飞得很远。
Yes. My plane is on the table.	是的。我的飞机在桌子上。
My plane is in the flowers!	我的飞机在花丛里！
It's in the tree!	它在树上！
Where's my plane? I can't find it.	我的飞机在哪里？我找不到它。
Oh no!	哦，不！
# Unit 4 Story
Class is over. The students from the Art Club draw pictures in the school.	下课了。美术社团的学生们在学校里画画。
Let's draw some nice pictures of our school.	我们来画一些我们学校的美好图画吧。
Great! I want to draw the flowers in the garden.	太棒了！我想画花园里的花。
Where's the butterfly? I can't find it.	蝴蝶在哪里？我找不到它。
Look! A butterfly is by the tree!	看！一只蝴蝶在树旁边！
How beautiful!	多美啊！
Ha ha! It's behind you.	哈哈！它在你身后。
Hi, Wang Bing! Look at the butterfly. It's on the duck.	嗨，王兵！看那只蝴蝶。它在鸭子上。
How lovely!	真可爱！
What do you draw, Wang Bing?	你画了什么，王兵？
A picture of you and the butterfly!	一幅你和蝴蝶的画！
# Unit 5 Lead-in
I like apples, red and sweet.	我喜欢苹果，又红又甜。
I like bananas, a tasty treat.	我喜欢香蕉，美味可口。
Oranges are yummy. Grapes are great!	橙子很好吃。葡萄很棒！
I want lots of fruit on my plate.	我想要盘子里有很多水果。
# Unit 5 Words
fruit	水果
orange	橙子，柑橘
5:orange	橙子，柑橘
grape	葡萄
banana	香蕉
apple	苹果
mango	芒果
share	分享，共享
like	喜欢，喜爱
they	它们，他们，她们
make	做，制造
an	一（个）
What about you?	你呢？
good	有用，有好处
# Unit 5 Cartoon
Do you have a mango, Bobby?	Bobby，你有芒果吗？
No, I don't.	不，我没有。
One, two, three. Look! I have a mango!	一、二、三。看！我有一个芒果！
Cool!	酷！
One, two, three! I have two mangoes.	一、二、三！我有两个芒果。
Great!	太棒了！
Ha ha!	哈哈！
Let's share the mangoes!	我们来分享芒果吧！
Thank you! I like mangoes. They're sweet.	谢谢你们！我喜欢芒果。它们很甜。
# Unit 5 Story
Let's make a fruit salad together.	我们一起做水果沙拉吧。
Great!	太棒了！
What fruit do you have?	你有什么水果？
I have an orange. What about you?	我有一个橙子。你呢？
I have two apples.	我有两个苹果。
I have a mango. Do you have a banana, Yang Ling?	我有一个芒果。杨玲，你有香蕉吗？
No, I don't. I have some grapes.	不，我没有。我有一些葡萄。
Wang Bing, do you have a banana?	王兵，你有香蕉吗？
Yes, I do.	是的，我有。
Here you are.	给你。
Thanks.	谢谢。
Let's share the fruit salad!	我们来分享水果沙拉吧！
How nice!	真好！
