# English	Chinese
A rainy day?	下雨天？
All right, Mum. Good night!	好的，妈妈。晚安！
All the subjects make me smart.	所有学科都让我变聪明。
All year long, we have fun.	一年到头，我们都很快乐。
Art and Science too!	还有美术和科学！
Autumn leaves and winter snow.	秋叶和冬雪。
Because my students are very bright!	因为我的学生们非常聪明！
Because they're cool?	因为它们很酷吗？
Bobby, ...	Bobby，......
Bobby, get up!	Bobby，起床！
Bobby, hurry up!	Bobby，快点！
Bobby, save your money for a rainy day.	Bobby，把钱存起来以备不时之需。
Can you dance?	你会跳舞吗？
Check your bag. It's time for school.	检查书包。该去上学了。
Chinese, Maths and English,	语文、数学和英语，
Come again another day.	改天再来吧。
Come and play with us!	来和我们一起玩吧！
Come on, Mike! It's time for class!	快点，Mike！该上课了！
Come to school and learn with me.	来学校和我一起学习吧。
Cool! You play so well!	酷！你打得真好！
Different toys, same fun.	不同的玩具，同样的乐趣。
Do you like playing basketball?	你喜欢打篮球吗？
Don't be late! That's the rule.	不要迟到！这是规则。
Don't worry. I have an umbrella with me.	别担心。我带了一把伞。
Fun for me and you.	我和你都觉得有趣。
Get up now-it's time to go.	现在起床，该出发了。
Get up! Get up!	起床！起床！
Good idea!	好主意！
Good idea! What's the weather like?	好主意！天气怎么样？
Good morning, Bingbing. It's seven twenty. Let's have breakfast.	早上好，冰冰。七点二十了。我们吃早餐吧。
Good morning, Bobby! I get up at five!	早上好，Bobby！我五点起床！
Good morning, Mr Wilson. When do you get up every day?	早上好，Wilson 先生。你每天什么时候起床？
Good morning, Mum. What time is it?	早上好，妈妈。几点了？
Good!	好！
Great! Let's go to the sports ground.	太好了！我们去操场吧。
Great! See you tomorrow!	太好了！明天见！
Ha ha!	哈哈！
Ha ha! It's great fun.	哈哈！太有趣了。
Ha ha! They're my father's shorts.	哈哈！它们是我爸爸的短裤。
Happy New Year, Mrs Fox. I like your sunglasses!	新年快乐，Fox 夫人。我喜欢你的太阳镜！
Happy New Year, boys and girls!	新年快乐，孩子们！
Have a go!	试一试！
Hello! Welcome to my home. We can play together.	你好！欢迎来到我家。我们可以一起玩。
Hello. What's your name?	你好。你叫什么名字？
Hi, Mike! Do you like playing ping-pong?	嗨，Mike！你喜欢打乒乓球吗？
Hi, Su Hai! Happy Chinese New Year!	嗨，Su Hai！中国新年快乐！
Hi, Su Hai! Let's go to the park today.	嗨，Su Hai！我们今天去公园吧。
How nice!	真好看！
I also have an umbrella. We can share it.	我也有一把伞。我们可以共用它。
I can dance too!	我也会跳舞！
I can't be late for school again!	我不能再上学迟到了！
I enjoy every single day.	我享受每一天。
I like Chinese best. I want to learn about Chinese culture.	我最喜欢语文。我想学习中国文化。
I like Chinese. I like PE.	我喜欢语文。我喜欢体育。
I like English best. I like reading English stories.	我最喜欢英语。我喜欢读英语故事。
I like Maths. I'm good at it. What subject do you like best?	我喜欢数学。我擅长数学。你最喜欢什么学科？
I like Music best.	我最喜欢音乐课。
I like Music. I like Art.	我喜欢音乐。我喜欢美术。
I like Science best. It's interesting.	我最喜欢科学。它很有趣。
I like football. I like swimming.	我喜欢足球。我喜欢游泳。
I like playing basketball. Do you like playing basketball?	我喜欢打篮球。你喜欢打篮球吗？
I like playing outside!	我喜欢在外面玩！
I like playing ping-pong too. Let's go and play.	我也喜欢打乒乓球。我们去玩吧。
I like running. I like jumping.	我喜欢跑步。我喜欢跳跃。
I like sport. It's good for us.	我喜欢运动。运动对我们有好处。
I want a red toy car.	我想要一辆红色玩具汽车。
I work hard at school.	我在学校努力学习。
I'm Bobby.	我是 Bobby。
I'm coming!	我来了！
I'm coming.	我来了。
In autumn, it is cool.	秋天很凉爽。
In spring, it is warm.	春天很温暖。
In summer, it is hot.	夏天很炎热。
In winter, it is cold.	冬天很寒冷。
