How should you face new difficulties?	
Look at the stars, so bright in the sky.	
You can shine too. Just give it a try.	
try one's best	尽某人最大的努力
act	扮演，演出
play	戏剧；扮演
poster	海报
last	上一个的，最近的
take part	参与
practise	练习，训练
afraid	害怕，畏惧
calm down	平静，安静
begin	开始
forget	忘记
the words	歌词
remember	记起；记住
finish	完成
keep	继续，重复
ago	以前
movement	运动，动作
skill	技能，技术
in front of	在……前面
ready	准备好的
long ago	很久以前
snail	蜗牛
top	顶端，顶部
Bobby, why don't you take part?	
Er, I'm not good at singing.	
But you like singing! Have a go!	
OK. I will practise hard.	
It was Bobby's turn. First he was afraid, but then he calmed down.	
Bobby began to sing. First he forgot the words, but then he remembered them.	
Bobby finished the song.	
You were great, Bobby!	
Thanks, Sam. I want to sing again next year!	
Two weeks ago, Su Hai wanted to play Mulan in a school play. It was her first school play. She wanted to try her best.	
There were a lot of words in the play. She asked Su Yang to practise with her. There were also a lot of movements. She used her dancing skills to do them well.	
Su Hai was afraid of acting in front of many people. She asked her family to watch her practise.	
Su Hai practised a lot. She remembered all the words and movements. She was ready.	
Finally, it was time for the play. Su Hai acted well. It was great!	
I was/did ... We were/did ...	
Two weeks ago, Su Hai wanted to play Mulan in a school play.	
She used her dancing skills to do them well.	
ask - asked; remember - remembered; want - wanted; be - was/were; see - saw; begin - began	
Why should you be honest?	
Honesty is important. This you should know.	
Try to tell the truth, everywhere you go!	
honesty	诚实
storybook	儿童故事书
lie	谎言
break	弄坏，损坏
yesterday	昨天
repair	修理，修补
say	说，讲
poor	贫穷的
man	男人
old	老的
ox	牛
away from home	离开家
nephew	侄子，外甥
sell	卖，出售
buyer	买主
get back	重新获得
name	名声，名誉
watch	照看，看护
wolf	狼
answer	答复，回答
cry	哭，哭泣
One day, Sam found a storybook on his way home.	
Whose book is this? I can give it to Mrs Fox tomorrow.	
Sam began to read the book. It was great fun.	
Sam broke Bobby's storybook.	
Sam did not feel good. He wanted to repair Bobby's book.	
After school, Sam repaired the book carefully. It was not easy, but he tried his best.	
I'm sorry. I broke your book.	
Thank you for telling me.	
Long ago, there was a poor man. His name was Meng Xin. He had a sick old ox.	
One day, Meng Xin was away from home. His nephew sold the ox. Meng Xin came back home. He did not see the ox.	
Did you buy my ox?	
Yes, I did.	
Sorry, I can't sell it to you. It's old and sick.	
It's very kind of you. Thank you.	
Meng Xin got back his sick old ox. He got a good name too.	
I did not ... Did you ...?	
It was not easy, but he tried his best.	
His nephew sold the ox.	
Meng Xin did not want to sell a sick old ox to others.	
try - tried; come - came; do - did; have - had; sell - sold; get - got	
What can you learn from great people?	
Great people never stop trying to make life better for all.	
Can we be great people like them? Yes, we can try to do good things every day.	
hero	崇拜的对象
famous	著名的
scientist	科学家
inventor	发明家
hybrid rice	杂交水稻
dream	梦想，愿望
cool	凉快，凉爽
