content	translation	sentence	sentenceCn	core
play	打（球），踢（球）	Let's go and play.	我们去玩吧。	Y
football	足球运动；足球	Do you like playing football?	你喜欢踢足球吗？	Y
ping-pong	乒乓球运动	Ping-pong is fun.	乒乓球很有趣。	Y
basketball	篮球运动；篮球	I like playing basketball.	我喜欢打篮球。	Y
great	非常的	You play so well!	你打得真好！	Y
swimming	游泳；游泳运动	I like swimming and playing ping-pong.	我喜欢游泳和打乒乓球。	Y
so	（表示程度）这么，那么	You play so well!	你打得真好！	Y
well	好	You play so well!	你打得真好！	Y
Have a go!	试一试！	Have a go!	试一试！	Y
hard	难做的，不易的	Ping-pong is fun, but I can't play well.	乒乓球很有趣，但我打得不好。	Y
It's OK.	没关系。	It's OK. Try again.	没关系，再试一次。	Y
try	试	It's OK. Try again.	没关系，再试一次。	Y
Well played!	好球！	Well played!	好球！	Y
